# ordinal	sha	result	oss_commit	detail
114	6a91684c66f3626193ca0bd019e38664b451a91a	applied	4c816a6cb562145bf8c11f0894113577ff4fc0a5	oss-paths-only
115	697a8b03f4b84958a6891743029722511a69af11	conflict	-	api-server/services/knowledge_graph/core/service.go,app/src/components/knowledge-graph/KnowledgeGraph.jsx
116	837dae2a50c07534f0ab2a97d39c0eba38efd5be	applied	991dc425710be94e9dbcacf871f56398e5e03a7a	oss-paths-only
117	aae6bbb6f6dda7fb1ff91c9da295d788295853a7	applied	90b2dc347fdaa9a6dc16448550667f454b157808	oss-paths-only
118	fc45bc00e4a05c9f125a1f003dcdae6bddbee64d	empty	-	already present or EE-only after boundary strip
119	1e17c3c4d7e70d4a45cbcb7a6df1361ed473ce31	applied	ff0e83c8030a430c8cd2926a00c77f36fd6bfbed	oss-paths-only
120	a3be3ad0d79476891bcc03a145115132f0c73aa2	conflict	-	app/src/components/common/icons/LangTypeIcon.jsx,app/src/components/knowledge-graph/KnowledgeGraph.jsx
121	3a701a81fe33f16b87788b9468ba201e79d9f2b6	applied	8ca311ecca00294b75ee6fa180e7f409fb5454e6	oss-paths-only
122	646440f9d9b08ac59dbe42e7e37d2aebaf52b769	conflict	-	app/src/components/knowledge-graph/KnowledgeGraph.jsx
123	25689ef0d1b73173b3dbaa7d6e99fd274be43921	conflict	-	llm/llm-server/agents/prompts_repo/agent_k8s_native.txt
124	1fd592096ab813a535ae276c1238ca609bda2a09	applied	44257ec5dedb8c2d460ce1d9619d7db73324748d	oss-paths-only
125	f6e7bcc3311e793ae25991670050f83b60b85973	applied	d1311a35d45b1607f4257c6e4831952327c79f92	oss-paths-only
126	31b5a01f98b5c8dd64a9112822220c4f5fec1b77	conflict	-	api-server/services/knowledge_graph/core/service.go
127	2902e71db166a9b8f6fec2d9eba5f80a2a99af21	empty	-	already present or EE-only after boundary strip
128	2005bee00b6cae468d176292e488fb188a45fe67	applied	75bb8b9c6529b0539b2360f5e3c592f55ebc9bd0	oss-paths-only
129	44271865dc485ddf0e93de9c21f448c5feea40b5	applied	1003f5de6308799b92c7c814c610cf53b09525b9	oss-paths-only
130	daf51ea4dbc90933e9ac68c4f3a36bd1072e234b	conflict	-	api-server/migrations/migrations/app/atlas.sum
131	b5a01f08718c432461cbaa20a003113df9c98faf	empty	-	already present or EE-only after boundary strip
133	ae768bd75c164a14a84c9462b4fe79485ac4f118	applied	d7b919254ba1263cf18fcf85909ef40f1da3e5ff	oss-paths-only
137	651c6b7aab9ba34999d9fb124c6e759bcd590d1f	applied	810ac20f6e70719342de76bfb3970647b3353df9	oss-paths-only
139	6807cbbe47b68040c522fb5e1239ae71bfd0785f	conflict	-	api-server/migrations/migrations/app/atlas.sum
140	5246f487e38ddc0b9b8a8817dd121a7f42d37ae5	conflict	-	api-server/migrations/migrations/app/atlas.sum
141	ff01f0e8a462ca5ad6a9d1003190eb8e1f9c1d79	conflict	-	llm/llm-server/agents/agent_azure_orchestrator.go,llm/llm-server/agents/agent_gcp_orchestrator.go,llm/llm-server/agents/agent_k8s_orchestrator.go
142	d72268f187a1c0673f6eb84de41f061079e3b974	conflict	-	llm/gateway/proxy/fingerprint.go,llm/gateway/proxy/fingerprint_test.go,llm/gateway/proxy/generic.go,llm/gateway/proxy/handler.go
143	f405791418fdaf9cfc4d7065eddca7e45991cbb1	applied	c3cb66c8aedb50555abb7cbcc41f618f8244f96a	oss-paths-only
144	6dc23dfcab7565a48074f2e8a72dc1facb13eaaa	applied	f42eb5082df0ed7c63e951e592e2c6a937ba4f8a	oss-paths-only
145	ad2dea478740122d18cd2f43dc7bb277b176c2ee	applied	91ae9e7e896d0d5396d250654d549b8d0535fbb9	oss-paths-only
146	e94b5f53fc82a74e28e86d5e2ece6df40cb32854	applied	e1733babb83117bd6e509e287b34a473cb37e911	oss-paths-only
147	2825353c09fcc61f424da19fbb323af09ade6507	conflict	-	api-server/migrations/migrations/app/atlas.sum
148	c6ae28725d0350a6a2b1f4770086d921afd55ca7	conflict	-	llm/gateway/docs/generic-endpoint.md,llm/gateway/ee/secrets/resolver.go,llm/gateway/ee/secrets/resolver_test.go
149	126226818c3a8dd2d207b4735c056eee9fb3da70	conflict	-	app/src/api1/kubernetes/index.ts,app/src/components/k8s/investigate/cards/RemediationPanel.jsx,app/src/lib/actions.graphql,llm/llm-server/agents/prompts_repo/tool_remediation_generate_json.txt,llm/llm-server/api/remediation.go,llm/llm-server/api/remediation_test.go,llm/llm-server/events/event_analyzer_repository.go
152	0a174f135371f2194ac8dee60fb96441949d07f1	conflict	-	llm/gateway/docs/generic-endpoint.md,llm/gateway/proxy/modelname.go,llm/gateway/proxy/modelname_test.go
153	fabd87d3f786044e17f94bccdf9905d22c1b148b	applied	3823cb08f7ce530ca61cc4aea94a96e5a9c28e67	oss-paths-only
154	4aeb3c7bba5827bac959b4b9d502539cc0b4d270	applied	69bbfe82f1c88d9073b73d54321db5002e82be74	oss-paths-only
155	e3f1dce807a76804fba93857c7d43ee4af86c2c3	applied	a865a4b51560cf6373c17183f2f944a478ddc393	oss-paths-only
156	3e705037f0d829e7b4ec15237c08baf6b983629d	applied	0f5d5c32f195b52ba9e1fea0a7dcfd3a9337d86c	oss-paths-only
157	ae6ecdc32656e13c5c52331fca113aa319c1ef65	applied	fd7ad5e7555e1018c0138fca9483dd5083219603	oss-paths-only
158	439b0f555ee25f822bf2c90e9425ccceba644e89	applied	e2325ebec48a25eecbd30271eb2df2053d387900	oss-paths-only
159	7f28e8a74d7771d4b60f8f6c8076e540e6749ed8	conflict	-	llm/gateway/.env.example,llm/gateway/cmd/gateway/main.go,llm/gateway/docs/generic-endpoint.md,llm/gateway/engine/provider.go,llm/gateway/engine/provider_test.go,llm/gateway/proxy/modelname.go,llm/gateway/proxy/modelname_test.go
161	6708527e178ee9c3274acbe2b20a3182c905bf20	applied	fd0d40a2783be6e13e213552405e9042c840e438	oss-paths-only
162	0b4836d47634823ebcc179f9ec5c6f931d39cc0f	conflict	-	api-server/migrations/migrations/app/atlas.sum,notifications-server/notifications_server/configs/settings.py,notifications-server/notifications_server/models/models.py,notifications-server/notifications_server/repositories/channel_message_repository.py,notifications-server/notifications_server/repositories/channel_watch_repository.py,notifications-server/notifications_server/services/cache.py,notifications-server/notifications_server/services/channel_ingest.py
163	5a5b623c74e086b83a3873d7e9906e66dd77b4ac	applied	b9d607a8bc911db5040effca453f5ffe92106812	oss-paths-only
164	6e91673ef00ba4f8f8095a9d8ad0c69ba11bb179	applied	89d7b2c26fd2a583334971c238fe7fc843cf5224	oss-paths-only
165	0b95dc8d27f2e69b40e23af335ee487f47e333bf	conflict	-	app/src/components/k8s/details/groupedevents/KubernetesGroupedApplications.tsx
166	058ab39fb956c2edbcb15a97a46120307033f967	conflict	-	llm/llm-server/api/conversation_sync_repro_test.go
167	918d584b5eea5442f0ae87dfe78c033cc7be6d02	applied	64a7a824f6089604fa5dbfe92ada35a517d37540	oss-paths-only
